entry_time,exit_time,direction,entry_price,exit_price,pnl,size
2025-07-30 10:00:00+00:00,2025-07-31 06:00:00+00:00,SHORT,117961.6780546875,118832.17439843749,-3.7684947168923464,0.0038091439271812607
2025-07-31 07:00:00+00:00,2025-07-31 22:00:00+00:00,SHORT,118540.138078125,116227.29868749999,8.322472806461725,0.0037887767426068026
2025-07-31 23:00:00+00:00,2025-08-01 08:00:00+00:00,LONG,115872.75699999998,114588.5857734375,-5.426336892268807,0.0038793914755149163
2025-08-01 18:00:00+00:00,2025-08-02 14:00:00+00:00,SHORT,113650.6028203125,113236.95195312498,1.1874335411562766,0.003952658252297646
2025-08-03 06:00:00+00:00,2025-08-04 00:00:00+00:00,SHORT,113404.8332109375,114996.53790624999,-6.761182070100725,0.003961549882605734
2025-08-04 01:00:00+00:00,2025-08-04 21:00:00+00:00,LONG,114783.55169531249,115046.4009375,0.5780310441672485,0.003910824983326898
2025-08-04 22:00:00+00:00,2025-08-05 15:00:00+00:00,SHORT,115195.90753125,112947.850640625,8.320267610552017,0.003896881824177401
2025-08-05 16:00:00+00:00,2025-08-06 12:00:00+00:00,LONG,113231.40735156249,113790.298921875,1.76614683688401,0.003967966281844174
2025-08-06 14:00:00+00:00,2025-08-07 10:00:00+00:00,SHORT,114859.946953125,116485.290796875,-6.814522916066839,0.0039122797873280745
2025-08-07 11:00:00+00:00,2025-08-07 22:00:00+00:00,SHORT,116442.7609921875,117729.612,-5.416035947828071,0.0038559808325926365
2025-08-07 23:00:00+00:00,2025-08-08 15:00:00+00:00,LONG,117616.08452343749,116113.8558515625,-6.1740103189205655,0.0038150207469328794
2025-08-08 20:00:00+00:00,2025-08-09 16:00:00+00:00,SHORT,116727.12478125,116816.27770312499,-0.791176715160982,0.0038412379947173245
2025-08-09 18:00:00+00:00,2025-08-10 14:00:00+00:00,LONG,116781.72756249999,118660.2756328125,6.756053073635424,0.0038389112613085932
2025-08-10 15:00:00+00:00,2025-08-11 02:00:00+00:00,SHORT,118679.4907734375,122003.38149999999,-13.026106915554596,0.003780182009968596
