,entry_time,entry_price,position,size,stop_loss,take_profit,market_regime,volatility_pct,session,entry_type,exit_time,exit_price,pnl,return_pct,direction,volatility_state
200,2025-11-29 20:30:00+00:00,90826.9055,-1,0.117694684133959,91192.69565192168,90095.32519615663,Neutral,0.6473470830189149,NY,Mean Reversion,2025-11-30 08:15:00+00:00,91192.69565192168,-43.05155638973536,-0.40273325388332537,Short,Low
201,2025-11-30 11:15:00+00:00,91272.678,1,0.1544865149419427,90995.39620214286,91827.24159571428,Chaos,0.395591515111353,London,Mean Reversion,2025-11-30 13:15:00+00:00,91827.24159571428,85.67259721557166,0.6075899248998483,Long,Low
202,2025-11-30 16:00:00+00:00,91503.6775,1,0.1487264309653895,91212.77653967284,92085.47942065434,Neutral,0.5239590557855689,NY,Mean Reversion,2025-11-30 18:00:00+00:00,91212.77653967284,-43.264661593864325,-0.3179117695320713,Long,Low
203,2025-11-30 19:45:00+00:00,91480.4,1,0.17289079460903467,91231.40849999999,91978.38299999999,Neutral,0.5304230006787523,NY,Mean Reversion,2025-11-30 20:30:00+00:00,91231.40849999999,-43.0483382858961,-0.2721801609962393,Long,Low
204,2025-11-30 22:45:00+00:00,91230.868,-1,0.17455771419995014,91476.24871428571,90740.10657142858,Neutral,0.5507852779124971,Asia,Mean Reversion,2025-11-30 23:15:00+00:00,90740.10657142858,85.66619318892963,0.5379335298787495,Short,Low
205,2025-12-01 03:30:00+00:00,86473.5585,-1,0.04681737985524584,87397.60481985321,84625.46586029357,Trend_Down,1.2776825696191687,Asia,Pullback,2025-12-01 14:30:00+00:00,87397.60481985321,-43.26142756040967,-1.0685882897408563,Short,Normal
206,2025-12-01 14:45:00+00:00,86070.6505,-1,0.043501897424605196,87060.15033727058,84091.65082545886,Trend_Down,1.3344496547340985,NY,Pullback,2025-12-01 15:30:00+00:00,84091.65082545886,86.09024084521609,2.299273518957717,Short,Normal
207,2025-12-01 16:15:00+00:00,84546.855,-1,0.03372045594752057,85836.14870630384,81968.26758739233,Trend_Down,1.2916715669641312,NY,Pullback,2025-12-01 20:00:00+00:00,85836.14870630384,-43.47557162683419,-1.5249457904777661,Short,Normal
208,2025-12-01 20:15:00+00:00,85259.67,-1,0.08439753321059051,85772.22282142857,84234.56435714285,Trend_Down,1.364648074001212,NY,Pullback,2025-12-01 21:00:00+00:00,85772.22282142857,-43.258193768699876,-0.6011667901465877,Short,Normal
209,2025-12-01 21:15:00+00:00,86166.215,-1,0.08583618465550351,86667.65740418655,85163.3301916269,Trend_Down,1.3875833787616805,Asia,Pullback,2025-12-01 22:00:00+00:00,86667.65740418655,-43.04190279985691,-0.5819478135212935,Short,Normal
210,2025-12-02 00:30:00+00:00,86330.25,1,0.11571781794835818,85960.15407142857,87070.44185714285,Trend_Down,1.421731015732122,Asia,Pullback,2025-12-02 01:00:00+00:00,87070.44185714285,85.65338657171394,0.8573957067688952,Long,Normal
211,2025-12-02 01:15:00+00:00,86717.07,1,0.1147279583582461,86340.0480357143,87471.11392857143,Trend_Down,1.4426679170239962,Asia,Pullback,2025-12-02 02:00:00+00:00,86340.0480357143,-43.254960218715304,-0.4347724897597577,Long,Normal
212,2025-12-02 02:15:00+00:00,86664.21,1,0.11840671832577772,86300.72821428571,87391.17357142858,Trend_Down,1.3705757498351698,Asia,Pullback,2025-12-02 03:30:00+00:00,86300.72821428571,-43.03868541762282,-0.41941394921189684,Long,Normal
213,2025-12-02 07:00:00+00:00,86986.625,1,0.1806216846046855,86749.53557142857,87460.80385714286,Neutral,0.765101103351628,Asia,Mean Reversion,2025-12-02 08:00:00+00:00,86749.53557142857,-42.82349199053416,-0.2725584865160951,Long,Low
214,2025-12-02 08:15:00+00:00,86490.1,1,0.17173109942828846,86241.98317857143,86986.33364285715,Trend_Down,0.7631755042626814,London,Pullback,2025-12-02 09:15:00+00:00,86986.33364285715,85.21874906116189,0.5737461777210842,Long,Low
215,2025-12-02 17:45:00+00:00,91446.6822427581,1,0.05467665673717765,90659.59190395499,93020.86292036435,Trend_Up,1.0302604842458645,NY,Pullback,2025-12-02 20:15:00+00:00,90659.59190395499,-43.035468275886764,-0.8607095626648024,Long,Normal
216,2025-12-02 20:30:00+00:00,90974.987,1,0.06685612740494164,90334.50283502362,92255.95532995273,Trend_Up,1.2619151611499007,NY,Pullback,2025-12-03 01:45:00+00:00,92255.95532995273,85.64058186901562,1.4080445320126718,Long,Normal
217,2025-12-03 05:30:00+00:00,93437.75,1,0.06990138965479123,92819.04278892114,94675.16442215773,Trend_Up,1.2239738054581917,Asia,Pullback,2025-12-03 06:30:00+00:00,92819.04278892114,-43.248493843852394,-0.6621597920314409,Long,Normal
218,2025-12-03 06:45:00+00:00,93461.5,1,0.07443645215846832,92883.39276722886,94617.71446554227,Trend_Up,1.2967644410665482,Asia,Pullback,2025-12-03 07:15:00+00:00,92883.39276722886,-43.03225137463381,-0.6185512031918432,Long,Normal
